MovieID,mean,count
1,4.146846413095811,2077
2,3.20114122681883,701
3,3.01673640167364,478
4,2.7294117647058824,170
5,3.0067567567567566,296
6,3.8787234042553194,940
7,3.410480349344978,458
8,3.014705882352941,68
9,2.656862745098039,102
10,3.5405405405405403,888
11,3.7938044530493706,1033
12,2.3625,160
13,3.2626262626262625,99
14,3.542483660130719,153
15,2.458904109589041,146
16,3.7932551319648096,682
17,4.027544910179641,835
18,3.337579617834395,157
19,2.480719794344473,389
20,2.5375,160
21,3.6238938053097347,1356
22,3.3492063492063493,378
23,2.857142857142857,126
24,3.1794871794871793,624
25,3.6510204081632653,980
26,3.53,100
27,2.9344262295081966,61
28,4.055865921787709,179
29,4.062034739454094,403
30,3.6486486486486487,74
31,3.1134751773049647,141
32,3.945731303772336,1511
33,3.0,4
34,3.8914905768132497,1751
35,3.3142857142857145,70
36,3.9579741379310347,928
37,3.5,8
38,2.8214285714285716,28
39,3.6233480176211454,1362
40,3.933333333333333,30
41,3.958677685950413,242
42,2.8687782805429864,221
43,3.4457831325301207,166
44,2.787781350482315,311
45,3.4246323529411766,544
46,3.108433734939759,166
47,4.106420404573439,1137
48,2.9764397905759163,382
49,3.740740740740741,27
50,4.517106001121705,1783
52,3.640371229698376,431
53,4.75,8
54,2.5609756097560976,41
55,3.066666666666667,45
56,2.0,9
57,3.404040404040404,99
58,4.093812375249501,501
59,2.75,8
60,3.212885154061625,357
61,3.0,67
62,3.6968576709796674,541
63,2.855855855855856,111
64,2.2658227848101267,79
65,2.062937062937063,143
66,1.6701030927835052,97
67,3.25,4
68,3.45,60
69,3.6551724137931036,319
70,3.1564551422319473,914
71,2.1041666666666665,96
72,3.6344086021505375,93
73,3.8169642857142856,224
74,2.975,120
75,1.9166666666666667,12
76,2.853932584269663,178
77,3.764705882352941,34
78,3.26,50
79,2.6052631578947367,114
80,3.826923076923077,52
81,3.1626506024096384,166
82,3.8764044943820224,89
83,3.696969696969697,33
84,3.0952380952380953,21
85,3.402061855670103,194
86,3.3940677966101696,236
87,2.210526315789474,76
88,2.9427083333333335,192
89,3.074235807860262,229
90,3.6666666666666665,6
92,2.340909090909091,88
93,2.235955056179775,89
94,3.7252747252747254,182
95,2.876175548589342,638
96,3.923076923076923,13
